Included,MaleRatioDiff>20,Paper,SS,SS_overlap,SubSample,keep,missing,RT/accuracy,Study,Authors,comment,todo,Included in Bediou et al 2018,New,Publication_type,Year,VGP_criteria,NVGP_criteria,Game_genre,Age_group,Recruitment,Lab,Cognitive_domain,SubDomain,Task,Measure,Effect,DV_type,Data_source,nExp,nCtl,males_AVGP,males_NVGP,MaleRatioDiff,g_source,Cohen's d,d_var,J,g,g_var
excluded,0.666666667,10,10,10,,NA,NA,NA,"Berard, Cain, Watanabe & Sasaki 2015-","Berard, A. V., Cain, M. S., Watanabe, T., & Sasaki, Y.",NA,NA,1,NA,published,2015,"Frequent gamers were classified as those who participated in action video game playing at least 5 hours a week for a period of 6 months or more continuously (mean 5.64 hours/week, ± 1.88 SE).",played less than 1 hour a week in a given 6-month period (mean 0.32 hours/week ± 0.11 SEM).,NA,Younger adults,Overt,Other,perception,perception,Texture Discrimination Task,RT,NA,NA,NA,9,9,0.777777778,0.111111111,0.666666667,NA,NA,NA,NA,NA,NA
included,0.018282313,11,11,11,,1,NA,NA,Blacker & Curby 2013-EXP1,"Blacker, K. J., & Curby, K. M.",same subjects as EXP2,NA,1,NA,published,2013,"participants were classified as AVGPs if they reported playing ≥ 5 h/week of action games (e.g., Halo, Call of Duty), on average, over the past year",Participants who reported <1 h/week of action video games and <5 h/week of other types of games were classified as NVGPs,NA,Younger adults,Overt,Other,spatial cognition,spatial cognition,Visual Short Term Memory (VSTM) / change detection SIMPLE,Main effect: accuracy,main,accuracy,NA,44,43,0.895833333,0.87755102,0.018282313,Ftest,0.661633573,0.048498943,0.991150442,0.655778409,0.047644353
included,0.045289855,11,11,11,,2,NA,NA,Blacker & Curby 2013-EXP2,"Blacker, K. J., & Curby, K. M.",same subjects as EXP1,NA,1,NA,published,2013,"participants were classified as AVGPs if they reported playing ≥ 5 h/week of action games (e.g., Halo, Call of Duty), on average, over the past year",Participants who reported <1 h/week of action video games and <5 h/week of other types of games were classified as NVGPs,NA,Younger adults,Overt,Other,spatial cognition,spatial cognition,Visual Short Term Memory (VSTM) / change detection COMPLEX,Main effect: accuracy,main,accuracy,NA,21,23,0.913043478,0.958333333,-0.045289855,Ftest,0.682948182,0.096397516,0.982035928,0.670679652,0.09296524
excluded,0,12,12,12,,NA,NA,NA,Boot et al 2008-EXP1,"Boot, W. R., Kramer, A. F., Simons, D. J., Fabiani, M., & Gratton, G.",EXCLUDE (hours overall),NA,1,NA,published,2008,"participants were considered experts if they played seven or more hours of video games per week for the past two years. Experts were selected such that they had high levels of expertise with action video games such as Halo, Grand Theft Auto and Unreal Tournament.

wide va",Non-gamers were selected such that they played video games one hour a week or less.,NA,Younger adults,Overt,Other,spatial cognition,spatial cognition,CBTT: Corsi Block-Tapping Task,Main effect: accuracy,main,accuracy,NA,11,10,1,1,0,NA,NA,NA,NA,NA,NA
excluded,0,12,12,12,,NA,NA,NA,Boot et al 2008-EXP1,"Boot, W. R., Kramer, A. F., Simons, D. J., Fabiani, M., & Gratton, G.",EXCLUDE (hours overall),NA,1,NA,published,2008,"participants were considered experts if they played seven or more hours of video games per week for the past two years. Experts were selected such that they had high levels of expertise with action video games such as Halo, Grand Theft Auto and Unreal Tournament.

wide va",Non-gamers were selected such that they played video games one hour a week or less.,NA,Younger adults,Overt,Other,spatial cognition,spatial cognition,Enumeration,Main effect: accuracy,main,accuracy,NA,11,10,1,1,0,NA,NA,NA,NA,NA,NA
excluded,0,12,12,12,,NA,NA,NA,Boot et al 2008-EXP1,"Boot, W. R., Kramer, A. F., Simons, D. J., Fabiani, M., & Gratton, G.",EXCLUDE (hours overall),NA,1,NA,published,2008,"participants were considered experts if they played seven or more hours of video games per week for the past two years. Experts were selected such that they had high levels of expertise with action video games such as Halo, Grand Theft Auto and Unreal Tournament.

wide va",Non-gamers were selected such that they played video games one hour a week or less.,NA,Younger adults,Overt,Other,spatial cognition,spatial cognition,Mental rotation,Main effect: accuracy,main,accuracy,NA,11,10,1,1,0,NA,NA,NA,NA,NA,NA
excluded,0,12,12,12,,NA,NA,NA,Boot et al 2008-EXP1,"Boot, W. R., Kramer, A. F., Simons, D. J., Fabiani, M., & Gratton, G.",EXCLUDE (hours overall),NA,1,NA,published,2008,"participants were considered experts if they played seven or more hours of video games per week for the past two years. Experts were selected such that they had high levels of expertise with action video games such as Halo, Grand Theft Auto and Unreal Tournament.

wide va",Non-gamers were selected such that they played video games one hour a week or less.,NA,Younger adults,Overt,Other,spatial cognition,spatial cognition,Mental rotation,Main effect: RT,main,speed,NA,11,10,1,1,0,NA,NA,NA,NA,NA,NA
excluded,0,12,12,12,,NA,NA,NA,Boot et al 2008-EXP1,"Boot, W. R., Kramer, A. F., Simons, D. J., Fabiani, M., & Gratton, G.",EXCLUDE (hours overall),NA,1,NA,published,2008,"participants were considered experts if they played seven or more hours of video games per week for the past two years. Experts were selected such that they had high levels of expertise with action video games such as Halo, Grand Theft Auto and Unreal Tournament.

wide va",Non-gamers were selected such that they played video games one hour a week or less.,NA,Younger adults,Overt,Other,spatial cognition,spatial cognition,Mental rotation,Main effect: composite performance accuracy,main,speed,NA,11,10,1,1,0,NA,NA,NA,NA,NA,NA
excluded,0,12,12,12,,NA,NA,NA,Boot et al 2008-EXP1,"Boot, W. R., Kramer, A. F., Simons, D. J., Fabiani, M., & Gratton, G.",EXCLUDE (hours overall),NA,1,NA,published,2008,"participants were considered experts if they played seven or more hours of video games per week for the past two years. Experts were selected such that they had high levels of expertise with action video games such as Halo, Grand Theft Auto and Unreal Tournament.

wide va",Non-gamers were selected such that they played video games one hour a week or less.,NA,Younger adults,Overt,Other,spatial cognition,spatial cognition,Spatial 2-back,Main effect: accuracy,main,accuracy,NA,11,10,1,1,0,NA,NA,NA,NA,NA,NA
excluded,0,12,12,12,,NA,NA,NA,Boot et al 2008-EXP1,"Boot, W. R., Kramer, A. F., Simons, D. J., Fabiani, M., & Gratton, G.",EXCLUDE (hours overall),NA,1,NA,published,2008,"participants were considered experts if they played seven or more hours of video games per week for the past two years. Experts were selected such that they had high levels of expertise with action video games such as Halo, Grand Theft Auto and Unreal Tournament.

wide va",Non-gamers were selected such that they played video games one hour a week or less.,NA,Younger adults,Overt,Other,spatial cognition,spatial cognition,Spatial 2-back,Main effect: RT,main,speed,NA,11,10,1,1,0,NA,NA,NA,NA,NA,NA
